analysis_thread_id,collector_id,item_type,collected_sec,collected_nsec,deposited_sec,deposited_nsec,analysis_begin_sec,analysis_begin_nsec,analysis_end_sec,analysis_end_nsec
1,4,0,5863,478664620,5863,478664895,5866,411183679,5867,631303619
1,0,0,5868,478074538,5868,478075546,5868,631443443,5870,81531261
0,0,4,5868,478388681,5868,478389506,5869,232124274,5870,862379115
1,4,4,5868,478460640,5868,478461465,5870,81595428,5871,941671755
0,1,1,5868,478733257,5868,478733899,5870,862482790,5872,72640726
1,0,0,5868,478767816,5868,478768549,5871,941735647,5873,351921456
0,3,3,5873,478229525,5873,478229984,5874,73078775,5876,53251998
1,1,4,5873,478504893,5873,478505076,5874,352174581,5876,192462658
0,0,2,5873,478572727,5873,478573093,5876,53313874,5877,923491722
1,4,2,5873,478921611,5873,478921886,5876,192577609,5878,92760821
0,4,4,5873,478982020,5873,478982295,5877,923562673,5879,543669059
1,3,0,5878,478408438,5878,478409630,5879,92927779,5880,803118181
0,0,3,5878,478640172,5878,478641180,5879,543735792,5881,33863212
1,3,0,5878,478646589,5878,478647230,5880,803254581,5882,173408672
0,2,4,5878,478977782,5878,478978607,5881,33927562,5882,584113467
1,0,2,5878,479101990,5878,479102632,5882,173559923,5883,923790018
1,2,0,5883,478936602,5883,478938160,5883,923937051,5885,44295597
0,0,2,5883,478648767,5883,478650601,5883,584382634,5885,144566293
1,4,1,5883,478940268,5883,478941368,5885,44423931,5886,274729543
0,1,2,5883,479178236,5883,479179428,5885,144688944,5886,404858752
1,0,1,5883,479328386,5883,479329395,5886,274878685,5887,995028433
1,2,3,5888,478884238,5888,478884880,5888,995231691,5890,465382943
0,1,3,5888,479146589,5888,479147139,5889,405346426,5891,85532472
1,4,1,5888,479262456,5888,479263006,5890,465449677,5891,825603905
0,3,4,5888,479387673,5888,479388132,5891,85612773,5892,335845052
1,3,2,5888,479495290,5888,479495840,5891,825664772,5893,345842655
0,3,4,5893,479019975,5893,479020525,5894,336334343,5895,796422024
1,4,0,5893,479252993,5893,479253268,5894,346100363,5896,296209923
0,4,4,5893,479421935,5893,479422119,5895,796487199,5896,876605668
0,4,2,5893,479597294,5893,479597569,5896,876670110,5897,926904491
1,0,1,5893,479453560,5893,479453927,5896,296273448,5898,206348264
1,2,3,5898,479339688,5898,479340422,5899,206594881,5900,566748009
0,0,4,5898,479156171,5898,479157179,5898,927132682,5900,897259842
1,1,3,5898,479478381,5898,479478931,5900,566814376,5901,907032953
0,1,2,5898,479512572,5898,479512939,5900,897421359,5902,717592561
1,0,3,5898,479721848,5898,479722215,5901,907356904,5903,137576532
0,1,4,5903,479387150,5903,479388434,5903,717710202,5905,467873288
1,4,2,5903,479569843,5903,479570943,5904,137758891,5905,937987566
0,2,3,5903,479675443,5903,479675810,5905,467938830,5906,528155565
1,1,0,5903,479727418,5903,479728243,5905,938051917,5907,548220957
0,4,4,5903,479916161,5903,479916986,5906,528222299,5907,878334405
0,0,4,5908,479672305,5908,479672671,5908,878530055,5910,188650227
1,4,4,5908,479593013,5908,479593655,5908,548450523,5910,228672412
1,0,2,5908,479875439,5908,479875714,5910,228797354,5911,269148197
0,4,4,5908,479823097,5908,479823372,5910,188735661,5911,688859093
